Country,Indicator,Region,Subregion,Unit,Year,Clear,Female Firearm chart,Female Firearms,Female Other  ,Female Other chart ,Female Sharp,Female Sharp chart,Female Unknown,Female Unknown chart ,Male Firearms,Male Firearms chart,Male Other ,Male Other chart ,Male Sharp,Male Sharp chart,Male Unknown,Male Unknown chart ,Number of Records,Onlyrates,rate,Round rate and count
India,homicide by Firearms,Asia,Southern Asia,Count,1999,0,,,,,,,,,,,,,,,,,1,,"9,294","9,294"
India,Firearms rate,Asia,Southern Asia,Rate,1999,0,,,,,,,,,,,,,,,,,1,,0.9,0.9
India,homicide by Firearms,Asia,Southern Asia,Count,2000,0,,,,,,,,,,,,,,,,,1,,"8,370","8,370"
India,Firearms rate,Asia,Southern Asia,Rate,2000,0,,,,,,,,,,,,,,,,,1,,0.8,0.8
India,homicide by Firearms,Asia,Southern Asia,Count,2001,0,,,,,,,,,,,,,,,,,1,,"8,019","8,019"
India,Firearms rate,Asia,Southern Asia,Rate,2001,0,,,,,,,,,,,,,,,,,1,,0.7,0.7
India,homicide by Firearms,Asia,Southern Asia,Count,2002,0,,,,,,,,,,,,,,,,,1,,"9,293","9,293"
India,Firearms rate,Asia,Southern Asia,Rate,2002,0,,,,,,,,,,,,,,,,,1,,0.9,0.9
Australia,homicide by Firearms,Oceania,Australia and New Zealand,Count,2003,0,,,,,,,,,,,,,,,,,1,,44,44
Australia,homicide by Sharp Objects,Oceania,Australia and New Zealand,Count,2003,0,,,,,,,,,,,,,,,,,1,,102,102
Australia,homicide by Other Mechanisms,Oceania,Australia and New Zealand,Count,2003,0,,,,,,,,,,,,,,,,,1,,152,152
Australia,homicide by Unknown Mechanisms,Oceania,Australia and New Zealand,Count,2003,0,,,,,,,,,,,,,,,,,1,,5,5
Australia,Firearms rate,Oceania,Australia and New Zealand,Rate,2003,0,,,,,,,,,,,,,,,,,1,,0.2,0.2
Australia,Sharp Objects rate,Oceania,Australia and New Zealand,Rate,2003,0,,,,,,,,,,,,,,,,,1,,0.5,0.5
Australia,Other Mechanism rate,Oceania,Australia and New Zealand,Rate,2003,0,,,,,,,,,,,,,,,,,1,,0.8,0.8
Australia,Unknown Mechanism rate,Oceania,Australia and New Zealand,Rate,2003,0,,,,,,,,,,,,,,,,,1,0,0,0
Australia,Male homicide by Firearms,Oceania,Australia and New Zealand,Count,2003,0,,,,,,,,,,,,,,,,,1,,25,25
Australia,Female homicide by Firearms,Oceania,Australia and New Zealand,Count,2003,0,,,,,,,,,,,,,,,,,1,,12,12
Australia,Male homicide by Sharp Objects,Oceania,Australia and New Zealand,Count,2003,0,,,,,,,,,,,,,,,,,1,,67,67
Australia,Female homicide by Sharp Objects,Oceania,Australia and New Zealand,Count,2003,0,,,,,,,,,,,,,,,,,1,,19,19
Australia,Male homicide by Other Mechanisms,Oceania,Australia and New Zealand,Count,2003,0,,,,,,,,,,,,,,,,,1,,93,93
Australia,Female homicide by Other Mechanisms,Oceania,Australia and New Zealand,Count,2003,0,,,,,,,,,,,,,,,,,1,,35,35
Australia,Male homicide rate by Firearms,Oceania,Australia and New Zealand,Rate,2003,0,,,,,,,,,0.3,,,,,,,,1,,0.3,0.3
Australia,Female homicide rate by Firearms,Oceania,Australia and New Zealand,Rate,2003,0,,0.1,,,,,,,,,,,,,,,1,,0.1,0.1
Australia,Male homicide rate by Sharp Objects,Oceania,Australia and New Zealand,Rate,2003,0,,,,,,,,,,,,,0.7,,,,1,,0.7,0.7
Australia,Female homicide rate by Sharp Objects,Oceania,Australia and New Zealand,Rate,2003,0,,,,,0.2,,,,,,,,,,,,1,,0.2,0.2
Australia,Male homicide rate by Other Mechanisms,Oceania,Australia and New Zealand,Rate,2003,0,,,,,,,,,,,0.9,,,,,,1,,0.9,0.9
Australia,Female homicide rate by Other Mechanisms,Oceania,Australia and New Zealand,Rate,2003,0,,,0.4,,,,,,,,,,,,,,1,,0.4,0.4
"China, Hong Kong Special Administrative Region",homicide by Firearms,Asia,Eastern Asia,Count,2003,0,,,,,,,,,,,,,,,,,1,,3,3
"China, Hong Kong Special Administrative Region",homicide by Sharp Objects,Asia,Eastern Asia,Count,2003,0,,,,,,,,,,,,,,,,,1,,20,20
"China, Hong Kong Special Administrative Region",homicide by Other Mechanisms,Asia,Eastern Asia,Count,2003,0,,,,,,,,,,,,,,,,,1,,27,27
"China, Hong Kong Special Administrative Region",homicide by Unknown Mechanisms,Asia,Eastern Asia,Count,2003,0,,,,,,,,,,,,,,,,,1,,2,2
"China, Hong Kong Special Administrative Region",Firearms rate,Asia,Eastern Asia,Rate,2003,0,,,,,,,,,,,,,,,,,1,,0,0
"China, Hong Kong Special Administrative Region",Sharp Objects rate,Asia,Eastern Asia,Rate,2003,0,,,,,,,,,,,,,,,,,1,,0.3,0.3
"China, Hong Kong Special Administrative Region",Other Mechanism rate,Asia,Eastern Asia,Rate,2003,0,,,,,,,,,,,,,,,,,1,,0.4,0.4
"China, Hong Kong Special Administrative Region",Unknown Mechanism rate,Asia,Eastern Asia,Rate,2003,0,,,,,,,,,,,,,,,,,1,0,0,0
"China, Hong Kong Special Administrative Region",Male homicide by Firearms,Asia,Eastern Asia,Count,2003,0,,,,,,,,,,,,,,,,,1,,3,3
"China, Hong Kong Special Administrative Region",Female homicide by Firearms,Asia,Eastern Asia,Count,2003,0,,,,,,,,,,,,,,,,,1,,0,0
"China, Hong Kong Special Administrative Region",Male homicide by Sharp Objects,Asia,Eastern Asia,Count,2003,0,,,,,,,,,,,,,,,,,1,,13,13
"China, Hong Kong Special Administrative Region",Female homicide by Sharp Objects,Asia,Eastern Asia,Count,2003,0,,,,,,,,,,,,,,,,,1,,7,7
"China, Hong Kong Special Administrative Region",Male homicide by Other Mechanisms,Asia,Eastern Asia,Count,2003,0,,,,,,,,,,,,,,,,,1,,12,12
"China, Hong Kong Special Administrative Region",Female homicide by Other Mechanisms,Asia,Eastern Asia,Count,2003,0,,,,,,,,,,,,,,,,,1,,15,15
"China, Hong Kong Special Administrative Region",Male homicide by Unknown Mechanisms,Asia,Eastern Asia,Count,2003,0,,,,,,,,,,,,,,,,,1,,2,2
"China, Hong Kong Special Administrative Region",Female homicide by Unknown Mechanisms,Asia,Eastern Asia,Count,2003,0,,,,,,,,,,,,,,,,,1,,0,0
"China, Hong Kong Special Administrative Region",Male homicide rate by Firearms,Asia,Eastern Asia,Rate,2003,0,,,,,,,,,0.1,,,,,,,,1,,0.1,0.1
"China, Hong Kong Special Administrative Region",Female homicide rate by Firearms,Asia,Eastern Asia,Rate,2003,0,,0,,,,,,,,,,,,,,,1,,0,0
"China, Hong Kong Special Administrative Region",Male homicide rate by Sharp Objects,Asia,Eastern Asia,Rate,2003,0,,,,,,,,,,,,,0.4,,,,1,,0.4,0.4
"China, Hong Kong Special Administrative Region",Female homicide rate by Sharp Objects,Asia,Eastern Asia,Rate,2003,0,,,,,0.2,,,,,,,,,,,,1,,0.2,0.2
"China, Hong Kong Special Administrative Region",Male homicide rate by Other Mechanisms,Asia,Eastern Asia,Rate,2003,0,,,,,,,,,,,0.4,,,,,,1,,0.4,0.4
"China, Hong Kong Special Administrative Region",Female homicide rate by Other Mechanisms,Asia,Eastern Asia,Rate,2003,0,,,0.4,,,,,,,,,,,,,,1,,0.4,0.4
"China, Hong Kong Special Administrative Region",Male homicide rate by Unknown Mechanisms,Asia,Eastern Asia,Rate,2003,0,,,,,,,,,,,,,,,0.1,0.1,1,,0.1,0.1
"China, Hong Kong Special Administrative Region",Female homicide rate by Unknown Mechanisms,Asia,Eastern Asia,Rate,2003,0,,,,,,,0,0,,,,,,,,,1,,0,0
India,homicide by Firearms,Asia,Southern Asia,Count,2003,0,,,,,,,,,,,,,,,,,1,,"7,826","7,826"
India,Firearms rate,Asia,Southern Asia,Rate,2003,0,,,,,,,,,,,,,,,,,1,,0.7,0.7
Australia,homicide by Firearms,Oceania,Australia and New Zealand,Count,2004,0,,,,,,,,,,,,,,,,,1,,39,39
Australia,homicide by Sharp Objects,Oceania,Australia and New Zealand,Count,2004,0,,,,,,,,,,,,,,,,,1,,84,84
Australia,homicide by Other Mechanisms,Oceania,Australia and New Zealand,Count,2004,0,,,,,,,,,,,,,,,,,1,,128,128
Australia,homicide by Unknown Mechanisms,Oceania,Australia and New Zealand,Count,2004,0,,,,,,,,,,,,,,,,,1,,11,11
Australia,Firearms rate,Oceania,Australia and New Zealand,Rate,2004,0,,,,,,,,,,,,,,,,,1,,0.2,0.2
Australia,Sharp Objects rate,Oceania,Australia and New Zealand,Rate,2004,0,,,,,,,,,,,,,,,,,1,,0.4,0.4
Australia,Other Mechanism rate,Oceania,Australia and New Zealand,Rate,2004,0,,,,,,,,,,,,,,,,,1,,0.6,0.6
Australia,Unknown Mechanism rate,Oceania,Australia and New Zealand,Rate,2004,1,,,,,,,,,,,,,,,,,1,0.1,0.1,0.1
Australia,Male homicide by Firearms,Oceania,Australia and New Zealand,Count,2004,0,,,,,,,,,,,,,,,,,1,,22,22
Australia,Female homicide by Firearms,Oceania,Australia and New Zealand,Count,2004,0,,,,,,,,,,,,,,,,,1,,10,10
Australia,Male homicide by Sharp Objects,Oceania,Australia and New Zealand,Count,2004,0,,,,,,,,,,,,,,,,,1,,48,48
Australia,Female homicide by Sharp Objects,Oceania,Australia and New Zealand,Count,2004,0,,,,,,,,,,,,,,,,,1,,21,21
Australia,Male homicide by Other Mechanisms,Oceania,Australia and New Zealand,Count,2004,0,,,,,,,,,,,,,,,,,1,,72,72
Australia,Female homicide by Other Mechanisms,Oceania,Australia and New Zealand,Count,2004,0,,,,,,,,,,,,,,,,,1,,33,33
Australia,Male homicide rate by Firearms,Oceania,Australia and New Zealand,Rate,2004,0,,,,,,,,,0.2,,,,,,,,1,,0.2,0.2
Australia,Female homicide rate by Firearms,Oceania,Australia and New Zealand,Rate,2004,0,,0.1,,,,,,,,,,,,,,,1,,0.1,0.1
Australia,Male homicide rate by Sharp Objects,Oceania,Australia and New Zealand,Rate,2004,0,,,,,,,,,,,,,0.5,,,,1,,0.5,0.5
Australia,Female homicide rate by Sharp Objects,Oceania,Australia and New Zealand,Rate,2004,0,,,,,0.2,,,,,,,,,,,,1,,0.2,0.2
Australia,Male homicide rate by Other Mechanisms,Oceania,Australia and New Zealand,Rate,2004,0,,,,,,,,,,,0.7,,,,,,1,,0.7,0.7
Australia,Female homicide rate by Other Mechanisms,Oceania,Australia and New Zealand,Rate,2004,0,,,0.3,,,,,,,,,,,,,,1,,0.3,0.3
"China, Hong Kong Special Administrative Region",homicide by Firearms,Asia,Eastern Asia,Count,2004,0,,,,,,,,,,,,,,,,,1,,1,1
"China, Hong Kong Special Administrative Region",homicide by Sharp Objects,Asia,Eastern Asia,Count,2004,0,,,,,,,,,,,,,,,,,1,,13,13
"China, Hong Kong Special Administrative Region",homicide by Other Mechanisms,Asia,Eastern Asia,Count,2004,0,,,,,,,,,,,,,,,,,1,,29,29
"China, Hong Kong Special Administrative Region",homicide by Unknown Mechanisms,Asia,Eastern Asia,Count,2004,0,,,,,,,,,,,,,,,,,1,,2,2
"China, Hong Kong Special Administrative Region",Firearms rate,Asia,Eastern Asia,Rate,2004,0,,,,,,,,,,,,,,,,,1,,0,0
"China, Hong Kong Special Administrative Region",Sharp Objects rate,Asia,Eastern Asia,Rate,2004,0,,,,,,,,,,,,,,,,,1,,0.2,0.2
